poi_id	normalized_score	geographic_id	category_id	administrative_region_id
50863	0.768725	44220297	4	1589
76701	0.671584	25456484	15	3246
113410	0.290882	24431939	1	713
123895	0.849034	42511776	4	433
141462	0.809998	37859114	4	1709
165972	0.198924	49680994	1	720
268832	0.833565	306704	11	203
297320	0.995619	39516322	4	174
378849	0.288538	47420547	1	1826
414426	0.686896	25720076	0	540
461022	0.806339	38201110	1	1709
609643	0.593	19365904	8	1392
623968	0.544706	38021317	18	1504
688299	0.362271	49548357	18	1443
725856	0.514391	22082985	17	1826
737393	0.835256	17093165	0	1392
771420	0.341858	9798806	17	2882
895572	0.793575	44852992	4	2974
918750	0.673838	7430820	3	3111
952281	0.84788	49066261	0	1121
1072211	0.836485	3846464	0	997
1115292	0.480831	32311722	10	898
1149247	0.567464	47587313	4	1709
1156146	0.67602	32574744	10	2974
1224862	0.269726	51416841	17	1856
1239109	0.428317	17529650	10	1554
1456104	0.433657	1843846	3	2194
1512325	0.728051	41204571	8	1554
1533551	0.288787	45350971	17	1240
1597516	0.819591	44014711	4	1866
1704353	0.229983	14108876	5	2359
1744249	0.659734	12198512	4	2381
1776284	0.786446	5615504	16	1709
1827327	0.819429	22034414	4	2774
1875829	0.235599	37003333	17	1559
1877858	0.822318	31214931	0	1121
1900415	0.816001	17002944	4	2974
1957384	0.723859	18862909	8	433
2019643	0.247744	38371374	16	3000
2146612	0.73748	46953717	8	1709
2147174	0.722516	47898073	8	3111
2164580	0.570449	112844	1	3111
2263933	0.340822	51657559	15	2260
2529968	0.448656	23404698	17	174
2602646	0.723518	13755845	8	835
2684777	0.280257	22581624	20	218
2750824	0.71484	4641532	4	2422
2766076	0.571933	35569478	17	1826
2799090	0.390061	11674256	17	433
2824505	0.812339	6380030	1	1121
2970348	0.75978	32574744	11	2974
3188444	0.668251	6792870	10	835
3468159	0.674428	14492686	8	313
3501334	0.328448	18862909	1	433
3528005	0.742651	11176417	4	2244
3620779	0.312642	33721953	8	2393
3666583	0.310251	15678119	15	2808
3673230	0.571197	15064702	15	2848
3715990	0.504692	23609526	4	1915
3725583	0.304916	11955211	15	1723
4000953	0.635907	9851296	15	2244
4082956	0.831279	36774014	4	174
4143404	0.624643	4111869	4	835
4158534	0.30133	18926654	4	2708
4426094	0.577959	51000269	16	540
4535488	0.821864	15583308	11	1554
4575589	0.637465	38715242	8	898
4627891	0.109425	32801560	17	667
4643261	0.995647	5615504	4	1709
4816935	0.836447	5615504	4	1709
4852512	0.504047	26001037	8	2204
4926092	0.354597	2439160	11	1709
4952478	0.818157	31312989	4	835
4988023	0.844952	23295609	4	297
5154790	0.825966	24917629	4	1554
5225675	0.631413	47420547	17	1826
5259548	0.639513	25711415	8	1709
5301871	0.741558	1018652	4	174
5397826	0.633933	28141456	4	1762
5400782	0.797215	40108568	11	432
5519361	0.34997	9225998	16	517
5529266	0.582265	22082985	8	1826
5604500	0.708506	31312989	8	835
5611244	0.475009	22890747	17	3123
5848126	0.440288	42160747	17	174
5921467	0.595697	51000269	4	540
5969118	0.717076	16502349	14	1121
6007499	0.598485	5606961	3	1826
6134985	0.711446	51120818	4	2422
6180616	0.829647	45061455	11	1826
6180690	0.300626	4649817	4	437
6197694	0.676365	13935059	0	297
6206309	0.345207	36289832	14	2248
6263978	0.42532	44654714	18	1752
6507930	0.242242	49027645	13	898
6507939	0.781861	7021523	0	3111
6521483	0.830811	39077352	4	1121
6547132	0.770791	25586055	8	3111
6557523	0.638558	48231151	11	2974
6598902	0.384753	30944011	18	3127
6729135	0.530802	4339288	13	898
6748802	0.692115	9669545	8	1826
6758418	0.617986	49247828	4	2774
6818093	0.27857	38523095	17	263
6840239	0.726146	28091731	15	2974
6940131	0.661263	15361911	4	2974
7022738	0.655959	35744810	11	1554
7053657	0.318258	41113215	18	898
7079559	0.770581	6774758	4	2974
7129932	0.699919	52156753	8	174
7157362	0.638338	7514324	4	1709
7164864	0.350371	4594886	8	2974
