geographic_id	poi_info
112844	1901766,0.301784,13,3111;1995966,0.116829,13,3111;2015314,0.318057,11,3111;2164580,0.570449,1,3111;2387562,0.190986,1,3111;2438815,0.299483,1,3111;2554317,0.353308,15,1554;2783595,0.241594,16,3111;3005362,0.301043,15,3111;3301355,0.356853,16,3111;3515696,0.243073,3,3111;914839,0.346965,13,3111;930812,0.255426,2,3111;945104,0.19157,1,3111;518700,0.396785,16,3111;589375,0.204081,17,3111;603403,0.315388,2,3111;1162310,0.352031,13,3111;1198673,0.371459,14,3111;4366745,0.452954,14,3111;4278634,0.4004,2,3111;3960079,0.373698,16,3111;3723109,0.298031,1,3111;3734098,0.213434,11,3111;3770110,0.264137,11,3111;3893584,0.356026,13,3111;5540455,0.428334,13,3111;4867710,0.243489,1,3111;6254582,0.320292,11,3111;7042224,0.219357,11,3111;6771885,0.123649,17,3111;6773220,0.599718,15,3111;6158761,0.281021,13,3111;7211232,0.307584,13,3111;6908978,0.272514,13,3111;6616839,0.180328,20,1554;6657991,0.218771,1,3111
306704	1896284,0.393762,16,203;2227117,0.142402,17,203;2255063,0.422748,13,203;2318404,0.368895,14,203;2369153,0.351357,11,203;2567371,0.262293,11,203;2669969,0.573667,14,203;2690216,0.614323,11,203;2747107,0.462397,13,203;2864796,0.268707,5,203;2976362,0.314746,11,203;3100785,0.211671,17,203;3200242,0.353821,1,203;3481503,0.423795,16,203;3497251,0.254888,1,203;3531303,0.363463,14,203;695182,0.077574,11,203;715832,0.36307,1,203;761815,0.496615,2,203;820932,0.435155,16,203;837959,0.304506,17,203;13574,0.312198,1,203;56395,0.068107,13,203;1265856,0.545794,11,203;1318315,0.071547,13,203;268832,0.833565,11,203;355491,0.28567,11,203;483898,0.338505,4,203;501606,0.204568,18,203;1569197,0.306166,15,203;591454,0.485091,8,203;621884,0.27318,4,203;4740567,0.253599,1,203;4765055,0.704335,11,203;4838540,0.692971,11,203;5111795,0.485369,11,203;5282749,0.631124,4,203;3905597,0.077385,11,203;4161683,0.289005,17,203;4192153,0.498714,10,203;4218019,0.375453,16,203;4238658,0.106909,13,203;4282414,0.23194,1,203;3969911,0.760264,8,203;3988787,0.257392,17,203;4070049,0.250197,11,203;4109239,0.28098,17,203;5339279,0.598837,11,203;5382384,0.216066,17,203;5699683,0.214409,1,203;5714836,0.456614,13,203;6744936,0.333552,1,203;6801132,0.601703,11,203;6809459,0.619195,8,203;6461651,0.383705,17,203;6461941,0.276236,11,203;6030279,0.396356,11,203;6157860,0.438527,13,203;5641806,0.135322,11,203;5642017,0.396832,13,203;6519918,0.636371,11,203;6574888,0.438078,11,203;6611900,0.287769,1,203;6969186,0.269559,18,203;7037498,0.392209,17,203;7139193,0.248499,11,203;7147034,0.60584,14,203;7183902,0.163281,13,203;6203371,0.596048,8,203;6208020,0.159424,17,203
1018652	1061331,0.258021,20,174;1063120,0.323356,1,174;1799335,0.323476,13,174;432180,0.428367,2,174;459527,0.301355,20,174;180338,0.178844,17,174;322560,0.355023,4,174;322580,0.066885,1,174;1664969,0.343995,11,174;34779,0.341875,14,174;44399,0.291062,3,174;534857,0.241539,17,174;573857,0.384983,4,174;638274,0.263917,17,174;658214,0.241719,20,174;1252024,0.202253,1,174;1311109,0.369168,3,174;1313691,0.269162,17,174;1325428,0.406021,13,174;1918798,0.258758,17,174;2020369,0.120757,14,174;2051455,0.201651,15,174;2221969,0.304949,20,174;2227666,0.383779,13,174;2252094,0.369306,4,174;2548262,0.160942,1,174;2591944,0.266625,14,174;2596294,0.196081,1,174;2708112,0.368731,7,174;2794118,0.320859,1,174;2841457,0.321179,1,174;2841805,0.212225,3,174;2949414,0.445907,17,174;3032066,0.308078,11,174;3068660,0.190865,4,174;3070844,0.39163,3,174;3136911,0.156566,4,174;3206269,0.359245,14,174;3275088,0.15625,1,174;3283025,0.373727,1,174;3347649,0.168088,13,174;3392923,0.344647,15,174;3470420,0.364451,14,174;3511015,0.37591,20,174;3559173,0.293844,3,174;3575228,0.230108,15,174;3651104,0.196077,11,174;3684556,0.189948,17,174;4139480,0.218573,7,174;4148464,0.259306,11,174;4167808,0.367187,13,174;4228354,0.252941,14,174;4280961,0.424878,1,174;4724712,0.207128,17,174;4739779,0.405495,7,174;4743485,0.46694,2,174;3784387,0.104209,13,174;4804606,0.228442,15,174;5139784,0.273858,17,174;5170688,0.419266,20,174;5172550,0.305827,1,174;5247663,0.276268,13,174;5263808,0.452576,16,174;5267137,0.387586,18,174;5283987,0.214947,7,174;5301871,0.741558,4,174;4329668,0.300608,13,174;4352329,0.693131,14,174;4379745,0.771089,8,174;4437066,0.583754,14,174;4502742,0.429117,20,174;3989788,0.437675,13,174;5407316,0.342381,7,174;7063405,0.331223,17,174;6545598,0.719572,8,174;6573821,0.375893,20,174;6094841,0.307959,17,174;6109020,0.581829,1,174;5594074,0.25982,1,174;6855235,0.299931,13,174;6861648,0.775549,8,174;6735149,0.357866,13,174;5658674,0.441412,15,174;5719895,0.203763,17,174;5773571,0.179044,14,174;5792835,0.342741,17,174;5884425,0.330507,4,174;5940602,0.311248,8,174;7281816,0.245956,11,174
1843846	2418577,0.14916,17,2194;1456104,0.433657,3,2194;891984,0.320036,17,2194;4897872,0.435228,10,2194;6793318,0.352427,17,2194;6490551,0.197786,18,2194;6855768,0.457714,15,2194
2439160	1902374,0.316282,16,1709;1982360,0.269938,11,1709;1990394,0.600736,8,1709;2020044,0.158142,17,1709;2027983,0.430373,4,1709;2061078,0.638424,8,1709;2124518,0.403357,17,1709;2141984,0.513856,16,1709;2144229,0.672029,16,1709;2145075,0.427686,17,1709;2146610,0.297648,1,1709;2181378,0.323366,13,1709;2222048,0.356295,4,1709;2290760,0.20201,3,1709;2328422,0.581285,20,1709;2351256,0.496034,4,1709;2360542,0.624503,16,1709;2370216,0.233698,5,1709;2374461,0.445649,16,1709;2413997,0.241959,9,1709;2422123,0.334141,11,1709;2458299,0.280501,16,1709;2555174,0.095291,1,1709;2607850,0.252051,17,1709;2665632,0.379162,16,1709;2684425,0.298428,16,1709;2693276,0.27034,13,1709;2710749,0.673384,16,1709;2746405,0.3472,3,1709;2824999,0.252102,13,1709;2832885,0.458354,20,1709;2854574,0.332119,3,1709;2884539,0.370719,16,1709;2903048,0.373668,1,1709;2929433,0.28552,4,1709;2939376,0.402015,1,1709;2956284,0.420177,14,1709;3077988,0.25788,1,1709;3087076,0.590235,13,1709;3197381,0.485084,16,1709;3217925,0.446374,4,1709;3233446,0.327675,15,1709;3235708,0.18602,17,1709;3241108,0.532519,16,1709;3258026,0.436312,13,1709;3264470,0.586236,16,1709;3277065,0.195558,1,1709;3295751,0.327529,19,1709;3334435,0.338938,3,1709;3337169,0.307341,16,1709;3358977,0.189926,17,1709;3361913,0.266504,17,1709;3397418,0.46329,13,1709;3400990,0.393899,16,1709;3403752,0.5047,16,1709;3430158,0.636314,16,1709;3440632,0.530438,11,1709;3524416,0.330084,17,1709;3527831,0.541861,11,1709;3620373,0.712749,8,1709;3671933,0.396039,14,1709;217933,0.045724,1,1709;262754,0.326713,17,1709;266661,0.453322,14,1709;328260,0.503612,16,1709;1224532,0.329216,10,1709;1243025,0.354618,17,1709;1250268,0.305859,13,1709;1255475,0.286893,20,1709;1262075,0.320033,5,1709;1281027,0.39199,15,1709;1332968,0.140094,17,1709;1344605,0.333249,18,1709;1368291,0.638057,8,1709;1435165,0.427041,16,1709;1439399,0.323146,16,1709;12209,0.540453,16,1709;15838,0.330445,1,1709;17421,0.205069,17,1709;65864,0.128632,4,1709;88549,0.422391,10,1709;124338,0.302576,17,1709;160292,0.224345,5,1709;351537,0.235197,5,1709;389899,0.154313,9,1709;402686,0.472683,13,1709;547986,0.137862,1,1709;554841,0.337251,1,1709;577225,0.213865,5,1709;581061,0.303986,1,1709;583532,0.358864,16,1709;589746,0.3619,16,1709;637736,0.426565,5,1709;651268,0.27251,10,1709;659511,0.263409,17,1709;673552,0.381441,17,1709;1032755,0.350875,16,1709;1036139,0.521347,4,1709;1045162,0.425133,13,1709;1050267,0.413984,16,1709;1076492,0.244327,1,1709;1096145,0.459488,8,1709;1106375,0.329221,17,1709;1141999,0.325951,16,1709;1150880,0.313795,5,1709;1188184,0.310571,18,1709;687208,0.151971,1,1709;716461,0.244946,15,1709;756079,0.303655,18,1709;756899,0.255239,3,1709;804004,0.391013,18,1709;826143,0.348441,20,1709;1562618,0.38912,13,1709;1566167,0.141861,11,1709;1579474,0.311917,10,1709;1632705,0.344408,13,1709;1682185,0.34517,17,1709;1688743,0.321474,13,1709;1716516,0.402093,16,1709;1740896,0.318464,13,1709;1828040,0.365175,13,1709;1859796,0.33959,16,1709;1872640,0.233766,13,1709;865658,0.402494,13,1709;957422,0.442254,8,1709;1002864,0.166772,1,1709;6400029,0.322674,18,1709;6429110,0.318742,1,1709;6456421,0.511207,16,1709;6473224,0.21442,15,1709;6176965,0.286546,17,1709;6202970,0.345366,16,1709;6307047,0.425574,16,1709;6317246,0.244513,17,1709;6520593,0.113008,1,1709;6621863,0.30683,18,1709;6663515,0.170326,17,1709;7215296,0.191341,17,1709;7222720,0.702087,8,1709;7245358,0.476037,3,1709;7258065,0.479727,16,1709;7261027,0.16801,13,1709;5687711,0.327054,15,1709;5721301,0.149838,17,1709;5738355,0.392794,17,1709;5761830,0.221585,15,1709;6919473,0.286751,15,1709;6920589,0.555057,16,1709;6933135,0.705241,8,1709;6985820,0.363479,15,1709;7004730,0.464938,4,1709;7041981,0.396511,16,1709;7048348,0.166318,1,1709;7064128,0.033501,17,1709;7084738,0.475641,16,1709;7123852,0.590073,13,1709;6718153,0.19511,11,1709;6744731,0.498305,16,1709;6831795,0.418382,8,1709;6836197,0.154014,13,1709;6842429,0.167855,13,1709;6842847,0.322599,15,1709;5890015,0.181772,3,1709;5898806,0.513984,8,1709;5899320,0.313646,1,1709;5906227,0.741579,8,1709;5982592,0.321444,16,1709;6096664,0.341842,7,1709;6137253,0.292865,10,1709;6151805,0.061175,1,1709;6159742,0.355864,13,1709;3777575,0.375714,17,1709;3784137,0.312471,16,1709;3898313,0.548101,1,1709;3907845,0.637602,16,1709;5157649,0.575154,8,1709;5168190,0.395425,16,1709;5277117,0.342685,1,1709;5014972,0.501272,16,1709;5040302,0.45951,16,1709;5101533,0.276147,17,1709;4399103,0.363083,11,1709;4826560,0.24031,11,1709;4849500,0.304422,1,1709;4885770,0.382937,16,1709;4892404,0.282507,13,1709;4908916,0.220603,17,1709;4926092,0.354597,11,1709;4937008,0.335478,17,1709;5539110,0.216633,13,1709;5552244,0.276806,1,1709;5559937,0.169511,17,1709;5561004,0.319797,4,318;5568395,0.55277,16,1709;5576657,0.598142,16,1709;5616707,0.294361,13,1709;5638018,0.738528,8,1709;5349548,0.335497,17,1709;5356209,0.306261,13,1709;5383708,0.173805,17,1709;5479455,0.220482,17,1709;5479968,0.375747,11,1709;4507780,0.222593,17,1709;4523602,0.323376,4,1709;4541869,0.368854,7,1709;4545537,0.257032,17,1709;4621345,0.44862,20,1709;3986766,0.423898,16,1709;4012210,0.168031,13,1709;4042171,0.223086,16,1709;4090514,0.273033,17,1709;4661060,0.231845,17,1709;4710424,0.488878,16,1709;4727954,0.179945,17,1709;4123101,0.548691,16,1709;4128795,0.194378,17,1709;4152728,0.37885,13,1709;4250138,0.41769,18,1709
3846464	1072211,0.836485,0,997
4111869	6372073,0.602569,8,835;6380819,0.296863,13,835;6404034,0.648735,8,835;6470366,0.224576,14,835;6914985,0.317476,17,835;6959647,0.364997,3,835;6531323,0.561157,8,835;6628277,0.403981,13,835;6008971,0.631394,8,835;6020778,0.470385,13,835;6040822,0.254786,13,835;6041450,0.328709,13,835;6043444,0.329961,14,835;6078861,0.326487,1,835;6082470,0.260251,20,835;6114657,0.309282,15,835;6161466,0.264299,3,835;6693669,0.398989,20,835;6697972,0.185182,11,835;6759766,0.194521,17,835;5657402,0.260648,17,835;5666551,0.099266,13,835;5688605,0.181742,3,1121;5723913,0.413494,4,835;5925567,0.243698,1,835;6173888,0.195454,1,835;6244014,0.274717,17,835;6260523,0.217236,1,835;7102299,0.426311,18,835;7122002,0.336226,11,835;7129037,0.132183,13,835;4970707,0.164595,9,1121;5037111,0.462245,8,835;5075616,0.458413,1,835;5096408,0.219721,13,835;5106326,0.232808,3,835;5120900,0.248744,17,835;4143404,0.624643,4,835;4194038,0.428541,20,835;4267596,0.389811,14,835;4281264,0.40356,4,835;3850256,0.403003,3,835;4458164,0.316553,3,835;4521874,0.308912,17,835;4559474,0.285794,17,835;4811865,0.416358,14,835;4835889,0.294662,20,835;4874308,0.399036,15,835;4879272,0.18551,13,835;4931829,0.687747,16,835;4962595,0.265728,20,835;5326268,0.309853,7,835;5378813,0.201842,1,835;5387119,0.364101,15,835;5393893,0.15654,3,835;5401341,0.28926,5,835;5414160,0.070281,20,835;5418027,0.296616,15,835;5520322,0.636084,8,835;5541839,0.178259,1,835;5562602,0.26223,3,835;5638452,0.684208,4,835;5649704,0.318227,17,835;3989883,0.29274,17,835;4007067,0.322038,17,835;4061637,0.154683,11,835;4062991,0.679412,8,835;4082722,0.661456,8,835;4091401,0.204443,1,835;4096850,0.477305,8,835;4634328,0.157005,9,835;4720581,0.357818,20,835;4731755,0.495433,16,835;4760885,0.393258,13,835;4789667,0.296006,14,835;5238976,0.233547,1,835;5269112,0.634344,8,835;5309351,0.171738,3,835;4402672,0.60804,3,835;590337,0.539046,8,835;621996,0.319895,17,835;1726566,0.391328,17,835;1748344,0.321481,13,835;1781602,0.317433,1,835;1854824,0.477279,11,835;362693,0.276737,13,835;388159,0.622664,11,835;471544,0.62599,8,835;486195,0.370716,13,835;1040595,0.283627,11,835;1116073,0.774971,11,835;180574,0.345995,17,835;211942,0.159545,11,835;311852,0.332664,11,835;1544545,0.230015,1,835;1587197,0.2752,3,835;1683959,0.474785,14,835;1686947,0.339444,3,835;712376,0.409777,13,835;747638,0.499128,16,835;808318,0.168163,1,835;819682,0.350212,3,835;36582,0.303576,17,835;66208,0.272792,13,835;142880,0.261607,4,835;882495,0.232544,6,835;945647,0.20243,3,835;1421333,0.310518,11,835;1475028,0.464483,14,835;1242866,0.61717,8,835;1267135,0.123328,11,835;1275190,0.313704,11,835;1331767,0.328097,14,835;1370477,0.360126,17,835;1971902,0.250739,17,835;1993161,0.282985,11,835;1994737,0.255487,3,835;2028279,0.487011,4,1121;2034789,0.574733,0,835;2058465,0.359398,13,835;2059913,0.264068,17,835;2172366,0.291745,14,835;2219799,0.187336,11,835;2248042,0.359993,17,835;2542684,0.553243,14,835;2599386,0.309678,20,835;2675146,0.642854,8,835;2779745,0.32663,3,835;2809576,0.736037,8,835;2881240,0.193268,1,835;2902830,0.20314,11,835;2916286,0.244408,1,1121;2977013,0.216605,7,835;2979417,0.549397,14,835;2999792,0.344644,17,835;3048969,0.297533,17,835;3055136,0.703313,8,1121;3128128,0.190243,3,835;3209393,0.396915,15,835;3328717,0.200263,3,835;3342056,0.202937,4,835;3392486,0.34946,1,835;3461447,0.278013,17,835;3507812,0.261176,17,835;3557397,0.489013,5,835;3567891,0.669609,8,835;3656939,0.605759,8,835;3657658,0.212183,13,835
4339288	6464465,0.259569,1,898;6488734,0.471452,18,898;6856490,0.391171,13,898;6966509,0.234136,3,898;5899508,0.305879,0,898;5974518,0.319712,1,898;6729135,0.530802,13,898;6774921,0.501285,13,898;6821280,0.257142,17,898;6524481,0.158757,3,898;7093757,0.250189,13,898;7122106,0.311908,17,898;5733873,0.22531,18,898;5823178,0.401256,18,898;6049680,0.353105,20,898;5499742,0.085928,3,898;5524680,0.344726,13,898;5555189,0.304395,1,898;4258743,0.287698,3,898;5166893,0.635483,8,898;5189816,0.178459,3,898;5059171,0.293662,10,898;3851530,0.323311,18,898;3721895,0.393914,20,898;3768124,0.495636,1,898;3950439,0.123247,17,898;3961493,0.327199,18,898;4359563,0.197935,17,898;4408963,0.155563,3,898;4434605,0.296328,20,898;4534800,0.296635,15,898;4590791,0.220735,3,898;4618107,0.377424,18,898;896809,0.277091,20,898;26924,0.282149,14,898;132851,0.238925,18,898;147363,0.325299,13,898;389354,0.225054,14,898;410241,0.381492,15,898;462640,0.247066,17,898;795635,0.438946,18,898;803266,0.431882,1,898;1578078,0.140039,3,898;1673911,0.210758,20,898;1777475,0.486193,20,898;1183873,0.173647,20,898;1184734,0.335895,10,898;1281373,0.166104,1,898;571523,0.347365,18,898;1931064,0.176335,14,898;2031715,0.275757,13,898;2068515,0.321546,13,898;2074658,0.268441,17,898;2173726,0.274854,17,898;2203656,0.270544,7,898;2249182,0.337886,18,898;2370737,0.344599,17,898;2383894,0.197636,7,898;2395526,0.286019,7,898;2405437,0.467036,4,898;2425820,0.426353,18,898;2864949,0.314077,16,898;2976373,0.576392,8,898;3219839,0.331526,16,898;3259034,0.408407,13,898;3278763,0.259718,3,898;3284226,0.404013,13,898;3563712,0.444377,14,898;3574775,0.245288,18,898
4594886	5319777,0.428218,8,2974;5411686,0.311695,9,2974;5443025,0.4192,1,2974;5456376,0.442707,13,2974;5459984,0.1821,9,2974;5507726,0.291905,13,2974;5510107,0.248582,17,2974;5528757,0.351086,17,2974;5539389,0.620703,15,2974;5541504,0.169754,1,2974;5562023,0.39354,17,2974;5577298,0.416999,20,2974;5588359,0.315139,1,2974;5599052,0.387957,1,2974;5603023,0.270834,17,2974;5603308,0.28408,3,2974;5629817,0.222426,13,2974;4987575,0.21295,11,2974;4997536,0.655712,11,2974;5002598,0.551162,8,2974;5035930,0.507619,15,2974;5047891,0.621502,4,2974;5049412,0.643328,8,2974;5068153,0.346441,1,2974;5086036,0.285601,4,2974;5107754,0.301551,1,2974;3949116,0.647311,18,2974;3979541,0.4119,17,2974;3989076,0.183024,1,2974;4059362,0.32912,17,2974;4072890,0.590835,8,2974;4080884,0.23447,9,2974;4099775,0.374907,17,2974;4107683,0.404432,17,2974;5142204,0.513721,1,2974;5181106,0.27701,13,2974;5201818,0.40794,17,2974;5204881,0.542131,16,2974;5233619,0.172077,1,2974;5239588,0.481613,13,2974;5274980,0.274972,3,2974;5290776,0.364398,13,2974;3773716,0.321435,4,2974;3778800,0.363197,2,2974;3792765,0.289339,17,2974;3921835,0.379003,17,2974;4479228,0.538817,16,2974;4487785,0.287172,7,2974;4492370,0.380172,17,2974;4516353,0.359773,8,2974;4540017,0.342995,3,2974;4553353,0.362804,17,2974;4577782,0.350095,15,2974;4625891,0.350933,1,2974;4116985,0.217041,17,2974;4143932,0.252059,1,2974;4149964,0.447048,15,2974;4195352,0.279214,17,2974;4220792,0.425449,17,2974;4236686,0.531712,11,2974;4240855,0.15968,17,2974;4241604,0.602607,8,2974;4269525,0.28633,17,2974;4279662,0.678483,14,2974;4667625,0.550823,16,2974;4676863,0.461759,17,2974;4695815,0.36688,3,2974;4724030,0.221278,3,2974;4772987,0.466105,10,2974;4774548,0.114563,17,2974;4781267,0.527555,17,2974;4291893,0.494307,2,2974;4305121,0.216227,1,2974;4328010,0.397642,17,2974;4355269,0.295002,11,2974;4428360,0.455694,17,2974;4440619,0.530207,15,2974;4441112,0.488718,3,2974;4810832,0.39685,17,2974;4815052,0.320153,3,2974;4835253,0.64834,8,2974;4887802,0.33407,13,2974;4908794,0.249292,9,2974;4926173,0.369672,17,2974;4940486,0.319212,13,2974;6863293,0.312035,17,2974;6875219,0.369612,3,2974;6884745,0.657688,8,2974;6947581,0.355602,3,2974;6951244,0.232939,3,2974;6996726,0.433103,17,2974;7008879,0.319859,3,2974;5653630,0.499884,8,2974;5724674,0.022415,9,2974;5731062,0.222468,1,2974;5743405,0.404843,17,2974;5772369,0.535061,8,2974;5783620,0.329104,17,2974;5786891,0.272544,11,2974;5797154,0.269769,3,2974;5797772,0.291142,17,2974;7028833,0.222865,17,2974;7046073,0.542953,8,2974;7069951,0.654991,8,2974;7074876,0.486233,8,2974;7117722,0.285257,17,2974;7147522,0.273937,9,2974;7164864,0.350371,8,2974;7190645,0.446342,17,2974;5830856,0.296103,3,2974;5846556,0.448898,17,2974;5848521,0.238317,3,2974;5853559,0.311144,3,2974;5874370,0.493631,3,2974;5889588,0.418406,13,2974;5917516,0.313644,17,2974;5921214,0.537833,8,2974;5978330,0.202963,11,2974;5979046,0.313034,17,2974;7220531,0.557769,17,2974;7223251,0.543417,4,2974;6175025,0.329483,17,2974;6184133,0.305544,9,2974;6194276,0.400872,17,2974;6215282,0.3279,13,2974;6242088,0.247596,1,2974;6278166,0.257103,1,2974;6285614,0.244022,17,2974;6326764,0.397075,15,2974;6329023,0.362431,3,2974;6527663,0.469059,17,2974;6544360,0.595265,8,2974;6559596,0.329084,1,2974;6605394,0.317529,17,2974;6361465,0.474596,20,2974;6430448,0.332272,1,2974;6447268,0.583868,17,2974;6468038,0.58708,4,2974;6004384,0.740108,8,2974;6005234,0.582218,17,2974;6032118,0.38821,1,2974;6069132,0.35716,1,2974;6070102,0.380479,1,2974;6079546,0.268755,1,2974;6084519,0.429512,13,2974;6098852,0.116418,3,2974;6129472,0.174965,1,2974;6134658,0.29957,1,2974;6136963,0.408981,14,2974;6694843,0.262628,17,2974;6705171,0.341623,17,2974;6768070,0.463928,4,2974;6770948,0.481571,8,2974;6772333,0.422153,7,2974;6779754,0.469861,10,2974;6804261,0.449606,17,2974;6821178,0.322846,13,2974;6825274,0.438244,8,2974;6834279,0.36704,17,2974;6838265,0.218325,17,2974;6847715,0.480321,2,2974;376722,0.309271,11,2974;388708,0.337753,2,2974;422537,0.31504,17,2974;432207,0.508826,1,2974;441767,0.318497,11,2974;463437,0.474015,8,2974;480943,0.445358,17,2974;493045,0.40273,10,2974;499917,0.320709,13,2974;512805,0.176694,17,2974;1393148,0.280283,11,2974;1410030,0.503484,8,2974;1428806,0.424224,3,2974;1441141,0.298833,11,2974;1456759,0.581837,8,2974;1469083,0.224745,4,2974;1475736,0.36218,10,2974;1476159,0.49842,13,2974;1500425,0.614081,8,2974;1502897,0.242629,17,2974;1504654,0.331684,17,2974;515255,0.459027,8,2974;573441,0.222429,1,2974;583413,0.454114,17,2974;595200,0.428043,2,2974;606940,0.278966,15,2974;609328,0.297288,17,2974;633234,0.189558,11,2974;640152,0.654203,8,2974;654282,0.524538,10,2974;673156,0.37158,13,2974;1203727,0.14066,17,2974;1237312,0.421185,17,2974;1276361,0.369103,11,2974;1298060,0.712778,8,2974;1330472,0.371715,17,2974;1336293,0.644763,8,2974;1354854,0.656815,8,2974;1371241,0.122289,17,2974;2763,0.289133,13,2974;75590,0.184196,14,2974;83505,0.4738,8,2974;88755,0.317009,17,2974;92580,0.175286,1,2974;131040,0.493876,17,2974;138575,0.66929,8,2974;151414,0.162101,1,2974;153266,0.23697,17,2974;163455,0.337844,17,2974;195045,0.210285,17,2974;242874,0.398073,20,2974;256865,0.65372,8,2974;296411,0.391472,3,2974;307640,0.431572,17,2974;308769,0.445501,2,2974;335584,0.293388,9,2974;337241,0.524187,16,2974;337589,0.712825,8,2974;1132467,0.377588,9,2974;1145229,0.339615,3,2974;1157600,0.397373,17,2974;1169936,0.384522,16,2974;1188862,0.384654,3,2974;1193712,0.463958,4,2974;1197607,0.237087,8,2974;1769822,0.330495,8,2974;1775543,0.304713,11,2974;1782195,0.160265,3,2974;1783876,0.374579,17,2974;1543481,0.217036,17,2974;1564166,0.575282,15,2974;1606366,0.350311,17,2974;1652187,0.367823,11,2974;1659999,0.199292,3,2974;1674610,0.32335,11,2974;867529,0.415324,13,2974;891830,0.574185,8,2974;917849,0.201499,1,2974;927736,0.609169,8,2974;950857,0.30159,3,2974;983476,0.337186,17,2974;986450,0.512397,15,2974;754413,0.426958,3,2974;760870,0.457865,8,2974;770936,0.420524,17,2974;789800,0.180414,3,2974;851253,0.373684,13,2974;1938378,0.420152,13,2974;1947446,0.632166,8,2974;1958628,0.616404,8,2974;1959563,0.576928,8,2974;1960470,0.558441,14,2974;1983328,0.326251,13,2974;1988046,0.14999,11,2974;2004858,0.185572,9,2974;2031406,0.327477,13,2974;2061690,0.305049,4,2974;2065883,0.330028,17,2974;2112830,0.354161,16,2974;2118436,0.368889,17,2974;2119082,0.226973,3,2974;2152745,0.329008,17,2974;2166121,0.602549,8,2974;2205560,0.342918,1,2974;2246903,0.472805,17,2974;2270726,0.203368,1,2974;2282927,0.310122,1,2974;2291567,0.341553,17,2974;2292823,0.569261,8,2974;2309061,0.348523,2,2974;2337379,0.326054,17,2974;2359994,0.499273,15,2974;2384909,0.462722,8,2974;2434546,0.205749,17,2974;2460041,0.348592,17,2974;2513446,0.253091,17,2974;2527728,0.324886,14,2974;2564224,0.384332,17,2974;2581048,0.451262,8,2974;2592454,0.578282,8,2974;2592535,0.390969,17,2974;2600833,0.247083,9,2974;2611548,0.337339,11,2974;2612532,0.354827,17,2974;2635566,0.297781,4,2974;2687703,0.540027,11,2974;2696758,0.563001,3,2974;2699404,0.323262,9,2974;2701930,0.38713,17,2974;2710736,0.455738,13,2974;2740408,0.294601,4,2974;2743817,0.35951,15,2974;2744871,0.110477,1,2974;2745091,0.181679,9,2974;2754032,0.38085,3,2974;2800398,0.603561,8,2974;2802674,0.226382,1,2974;2841349,0.144225,1,2974;2841532,0.383352,17,2974;2869246,0.293702,13,2974;2879448,0.253536,17,2974;2888196,0.566824,17,2974;2889441,0.418539,13,2974;2901939,0.205272,3,2974;2948299,0.161225,3,2974;2964144,0.300336,17,2974;2967380,0.26412,12,2974;2971437,0.228835,1,2974;2984726,0.347826,3,2974;2992201,0.656023,4,2974;3006118,0.434263,8,2974;3019848,0.403972,13,2974;3050017,0.33091,8,2974;3053835,0.534803,8,2974;3106413,0.126936,1,2974;3111770,0.310639,10,2974;3112223,0.670158,8,2974;3132221,0.458813,13,2974;3133391,0.379795,8,2974;3141068,0.329879,13,2974;3168026,0.260706,17,2974;3184684,0.277734,4,2974;3218825,0.186178,3,2974;3245180,0.432405,20,2974;3254008,0.416353,2,2974;3259687,0.370217,8,2974;3276900,0.299793,3,2974;3282068,0.505714,17,2974;3295015,0.279034,10,2974;3310782,0.352311,17,2974;3323311,0.31186,1,2974;3335586,0.377162,13,2974;3347586,0.601345,8,2974;3350335,0.381853,17,2974;3371575,0.499181,13,2974;3397621,0.309203,11,2974;3490055,0.453366,8,2974;3519878,0.289291,13,2974;3522922,0.416382,13,2974;3531042,0.651079,8,2974;3543896,0.312326,13,2974;3600342,0.044317,9,2974;3612678,0.368931,17,2974;3613576,0.286407,9,2974;3627777,0.27319,9,2974;3662542,0.617603,1,2974;3670766,0.481225,8,2974;3682757,0.184365,11,2974;3706853,0.387142,10,2974;3724918,0.323773,4,2974;3738136,0.206225,3,2974
4641532	6288958,0.31711,10,2422;5003239,0.262197,4,2422;1682117,0.800314,4,2422;140085,0.313864,15,2422;2005591,0.180773,10,2422;2750824,0.71484,4,2422
